id,job_title,descr50,job_level,job_grp,vert_grp,notes,del_doc_path,del_doc_name,beroep_cd,code_fnc,schaalsrt,schaalcode,kmrateint,productiv,prodpct,xdefratelv,inttar,exttar,docid,roleid,rolelevel,scalemin,scalemax,wkcp_risk,division,syscreated,syscreator,sysmodified,sysmodifier,sysguid,
1603,KTT-XHD     ,CV Kế toán thuế - xuất hóa đơn               ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,24:25.1,0,24:25.1,0,49885452-6938-4F7F-A9C2-C72891A940BE,
1420,KTTH        ,Kế toán tổng hợp                              ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,34:44.6,0,34:44.6,0,DB7ACD21-6B34-476E-BC61-CFFCD78B8D6C,
1834,KTTHT       ,Kế toán tổng hợp thuế                        ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,38:40.3,0,38:40.3,0,FC18F70B-B52C-4DC1-ADA3-0ACDE8C51036,
1795,KTTHT - CP  ,Kế toán tổng hợp thuế - chi phí             ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,37:32.7,0,37:32.7,0,DF10BC84-0A75-44C3-9A11-F75A9A41A52A,
1796,KTTHT - HH  ,Kế toán tổng hợp thuế - hàng hóa           ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,38:36.6,0,38:36.6,0,82149EC7-DB4E-4A5C-9E7A-3F62DBF1D560,
1776,KTTHT-CP    ,Kế toán tổng hợp thuế - Chi phí             ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,55:52.2,0,55:52.2,0,8BFCEF04-718C-4502-8F60-3FE5753AB867,
1777,KTTHT-HH    ,Kế toán tổng hợp thuế - Hàng hóa           ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,55:52.9,0,55:52.9,0,64F27533-5DAD-40D9-BD54-8D89CA49919D,
1764,KTTHUE      ,Kế toán thuế                                   ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,51:08.9,0,51:08.9,0,B8BF98D6-956D-4664-9078-E502C25671AC,
1803,KTV RMA     ,Kỹ thuật viên RMA                               ,10,,,1957,,,,,,,0,0,0,,0,0,,,3,0,0,,101,23:23.0,0,23:23.0,0,5FF43EBC-6706-475F-BA55-4284E16636A9,
1741,KTVLK       ,KTV linh kiện bảo hành                          ,10,,,1958,,,,,,,0,0,0,,0,0,,,3,0,0,,101,24:14.0,0,24:14.0,0,80BAF1AE-C709-4434-84FC-520D1EC013F3,
1409,KTVT        ,Kế toán vật tư đầu vào                       ,10,STAFF     ,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,27:20.9,0,27:20.9,0,0A5BEAB8-40B2-4552-B37E-11F461B7EC2D,
1687,KTVT-DR     ,Kế toán vật tư đầu ra                         ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,04:19.5,0,04:19.5,0,08029DD2-09FD-4D5E-A1FA-3465C414EE9E,
1836,KTVTEC      ,Kế toán vật tư Ecom                            ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,28:24.8,0,28:24.8,0,AA0B3335-7530-4701-AB38-A3233EE27464,
2875,KTHH        ,Kế toán hàng hóa                              ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,11:00.4,0,11:00.4,0,4F5AB93E-E008-4D89-859B-9AA2022C37B7,
1565,KHVTLK      ,Nhân viên kế hoạch vật tư linh kiện           ,10,,,1959,,,,,,,0,0,0,,0,0,,,3,0,0,,101,53:41.4,0,53:41.4,0,2F59C16A-A4BD-4350-AF70-ACD04A89091E,
1286,LAWYER      ,Legal Staff                                       ,15,GMAN      ,LEGAL     ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,ECD04FEE-0BEC-4177-ABC3-C65B632DE4FD,
1289,LOG MAN     ,Delivery & Services Manager                       ,14,STAFF     ,DS        ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,85BCCCC9-DB7E-464A-85C8-020CED92759B,
1394,LOG STAFF   ,Delivery & Services Staff                         ,10,STAFF     ,DS        ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,3C1EB3DB-4984-482A-ABE6-24AE16920694,
1404,LOGS        ,Trưởng BP Logistics                              ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,07:08.5,0,07:08.5,0,7956B0A3-7146-4067-891D-CA31816000C8,
1494,LX          ,Lái xe                                           ,10,QLTKTL    ,,,,GR4                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,12:15.8,0,12:15.8,0,830A053C-B704-420F-8CC8-2EBC48C30EA9,
1740,LXN         ,Lái xe nâng                                       ,10,,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,31:36.2,0,31:36.2,0,67545D3A-B7F1-41B7-8E2A-4FD4BCF7BAFE,
1415,MANAGER     ,Manager                                           ,10,,,,,,,,,,0,1,0,,0,0,,,3,0,0,,101,34:04.8,0,34:04.8,0,9B040796-1833-4B67-8813-51C3962A06E2,
1520,MH          ,Nhân viên mua hàng nội địa                     ,10,,,,,GR1                                                                                                                             ,,,,,0,0,0,,0,0,,,3,0,0,,101,08:39.5,0,08:39.5,0,28671A20-41EA-49B8-8E6B-20080E34F20C,
1558,MHQT        ,NV mua hàng quốc tế                            ,10,QLTKTL    ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,06:48.5,0,06:48.5,0,5418DADB-2430-40AA-92E6-3AA5A6C6E857,
1625,MKOL        ,Nhân viên Marketing Online                        ,10,KDTT      ,,,,,,,,,0,0,0,,0,0,,,3,0,0,,101,23:40.2,0,23:40.2,0,D8D774EE-F801-462D-BE03-D99136DBB7CF,
1293,MKT MAN     ,Marketing Manager                                 ,15,SM        ,MKT       ,,,,,,,,0,0,0,,0,0,,,,0,0,,101,15:33.8,0,15:33.8,0,6420BDE7-4F08-4BCE-9B76-D7D9350BCAEB,
1719,NCC_DDPL    ,Người đại diện pháp luật                     ,10,,,,,,,,,,0,1,0,,0,0,,,3,0,0,,101,52:16.9,0,52:16.9,0,F674CD2F-7FEF-481B-AD37-CBDFF6E7BBDC,
